cellId,moduleId,topology,seriesCount,parallelCount,cycle,time,current,voltage,temperature,internalResistanceMOhm,capacityAh,referenceSoc,soh,nominalCapacityAh,sourceDataset,dataProvenance,measurementScope
C005,M1,96S1P,96,1,1,3600,101.47,3.1953,31.7,0.43446,101.47,0.0,0.994804,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C006,M1,96S1P,96,1,1,0,101.52,3.4159,29.5,0.43633,101.52,100.0,0.995294,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C006,M1,96S1P,96,1,1,1800,101.52,3.3059,30.4,0.43633,101.52,50.0,0.995294,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C006,M1,96S1P,96,1,1,3600,101.52,3.1959,31.3,0.43633,101.52,0.0,0.995294,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C007,M1,96S1P,96,1,1,0,101.58,3.4165,29.1,0.43817,101.58,100.0,0.995882,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C007,M1,96S1P,96,1,1,1800,101.58,3.3065,30.0,0.43817,101.58,50.0,0.995882,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C007,M1,96S1P,96,1,1,3600,101.58,3.1965,30.9,0.43817,101.58,0.0,0.995882,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C008,M1,96S1P,96,1,1,0,101.63,3.417,28.8,0.43903,101.63,100.0,0.996373,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C008,M1,96S1P,96,1,1,1800,101.63,3.307,29.7,0.43903,101.63,50.0,0.996373,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C008,M1,96S1P,96,1,1,3600,101.63,3.197,30.6,0.43903,101.63,0.0,0.996373,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C009,M1,96S1P,96,1,1,0,101.67,3.4173,28.6,0.43992,101.67,100.0,0.996765,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C009,M1,96S1P,96,1,1,1800,101.67,3.3073,29.5,0.43992,101.67,50.0,0.996765,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C009,M1,96S1P,96,1,1,3600,101.67,3.1973,30.4,0.43992,101.67,0.0,0.996765,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C010,M1,96S1P,96,1,1,0,101.71,3.4175,28.6,0.44081,101.71,100.0,0.997157,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C010,M1,96S1P,96,1,1,1800,101.71,3.3075,29.5,0.44081,101.71,50.0,0.997157,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C010,M1,96S1P,96,1,1,3600,101.71,3.1975,30.4,0.44081,101.71,0.0,0.997157,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C011,M1,96S1P,96,1,1,0,101.75,3.4176,28.8,0.4417,101.75,100.0,0.997549,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C011,M1,96S1P,96,1,1,1800,101.75,3.3076,29.7,0.4417,101.75,50.0,0.997549,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C011,M1,96S1P,96,1,1,3600,101.75,3.1976,30.6,0.4417,101.75,0.0,0.997549,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C012,M1,96S1P,96,1,1,0,101.78,3.4175,29.2,0.44162,101.78,100.0,0.997843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C012,M1,96S1P,96,1,1,1800,101.78,3.3075,30.1,0.44162,101.78,50.0,0.997843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C012,M1,96S1P,96,1,1,3600,101.78,3.1975,31.0,0.44162,101.78,0.0,0.997843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C013,M2,96S1P,96,1,1,0,101.77,3.4186,29.9,0.44665,101.77,100.0,0.997745,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C013,M2,96S1P,96,1,1,1800,101.77,3.3086,30.8,0.44665,101.77,50.0,0.997745,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C013,M2,96S1P,96,1,1,3600,101.77,3.1986,31.7,0.44665,101.77,0.0,0.997745,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C014,M2,96S1P,96,1,1,0,101.79,3.4183,30.2,0.4466,101.79,100.0,0.997941,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C014,M2,96S1P,96,1,1,1800,101.79,3.3083,31.1,0.4466,101.79,50.0,0.997941,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C014,M2,96S1P,96,1,1,3600,101.79,3.1983,32.0,0.4466,101.79,0.0,0.997941,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C015,M2,96S1P,96,1,1,0,101.81,3.4179,30.4,0.44654,101.81,100.0,0.998137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C015,M2,96S1P,96,1,1,1800,101.81,3.3079,31.3,0.44654,101.81,50.0,0.998137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C015,M2,96S1P,96,1,1,3600,101.81,3.1979,32.2,0.44654,101.81,0.0,0.998137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C016,M2,96S1P,96,1,1,0,101.82,3.4174,30.3,0.44651,101.82,100.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C016,M2,96S1P,96,1,1,1800,101.82,3.3074,31.2,0.44651,101.82,50.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C016,M2,96S1P,96,1,1,3600,101.82,3.1974,32.1,0.44651,101.82,0.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C017,M2,96S1P,96,1,1,0,101.82,3.3788,30.0,0.44551,101.82,100.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C017,M2,96S1P,96,1,1,1800,101.82,3.2688,30.9,0.44551,101.82,50.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C017,M2,96S1P,96,1,1,3600,101.82,3.1588,31.8,0.44551,101.82,0.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C018,M2,96S1P,96,1,1,0,101.82,3.4161,29.7,0.44451,101.82,100.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C018,M2,96S1P,96,1,1,1800,101.82,3.3061,30.6,0.44451,101.82,50.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C018,M2,96S1P,96,1,1,3600,101.82,3.1961,31.5,0.44451,101.82,0.0,0.998235,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C019,M2,96S1P,96,1,1,0,101.81,3.4154,29.3,0.44354,101.81,100.0,0.998137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C019,M2,96S1P,96,1,1,1800,101.81,3.3054,30.2,0.44354,101.81,50.0,0.998137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C019,M2,96S1P,96,1,1,3600,101.81,3.1954,31.1,0.44354,101.81,0.0,0.998137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C020,M2,96S1P,96,1,1,0,101.8,3.4145,29.0,0.44256,101.8,100.0,0.998039,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C020,M2,96S1P,96,1,1,1800,101.8,3.3045,29.9,0.44256,101.8,50.0,0.998039,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C020,M2,96S1P,96,1,1,3600,101.8,3.1945,30.8,0.44256,101.8,0.0,0.998039,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C021,M2,96S1P,96,1,1,0,101.78,3.4136,28.8,0.44162,101.78,100.0,0.997843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C021,M2,96S1P,96,1,1,1800,101.78,3.3036,29.7,0.44162,101.78,50.0,0.997843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C021,M2,96S1P,96,1,1,3600,101.78,3.1936,30.6,0.44162,101.78,0.0,0.997843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C022,M2,96S1P,96,1,1,0,101.76,3.4128,28.8,0.44067,101.76,100.0,0.997647,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C022,M2,96S1P,96,1,1,1800,101.76,3.3028,29.7,0.44067,101.76,50.0,0.997647,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C022,M2,96S1P,96,1,1,3600,101.76,3.1928,30.6,0.44067,101.76,0.0,0.997647,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C023,M2,96S1P,96,1,1,0,101.73,3.4119,29.0,0.43875,101.73,100.0,0.997353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C023,M2,96S1P,96,1,1,1800,101.73,3.3019,29.9,0.43875,101.73,50.0,0.997353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C023,M2,96S1P,96,1,1,3600,101.73,3.1919,30.8,0.43875,101.73,0.0,0.997353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C024,M2,96S1P,96,1,1,0,101.69,3.4111,29.3,0.43686,101.69,100.0,0.996961,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C024,M2,96S1P,96,1,1,1800,101.69,3.3011,30.2,0.43686,101.69,50.0,0.996961,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C024,M2,96S1P,96,1,1,3600,101.69,3.1911,31.1,0.43686,101.69,0.0,0.996961,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C025,M3,96S1P,96,1,1,0,101.61,3.4114,30.1,0.43909,101.61,100.0,0.996176,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C025,M3,96S1P,96,1,1,1800,101.61,3.3014,31.0,0.43909,101.61,50.0,0.996176,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C025,M3,96S1P,96,1,1,3600,101.61,3.1914,31.9,0.43909,101.61,0.0,0.996176,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C026,M3,96S1P,96,1,1,0,101.57,3.4106,30.4,0.4382,101.57,100.0,0.995784,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C026,M3,96S1P,96,1,1,1800,101.57,3.3006,31.3,0.4382,101.57,50.0,0.995784,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C026,M3,96S1P,96,1,1,3600,101.57,3.1906,32.2,0.4382,101.57,0.0,0.995784,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C027,M3,96S1P,96,1,1,0,101.52,3.4099,30.5,0.43633,101.52,100.0,0.995294,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C027,M3,96S1P,96,1,1,1800,101.52,3.2999,31.4,0.43633,101.52,50.0,0.995294,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C027,M3,96S1P,96,1,1,3600,101.52,3.1899,32.3,0.43633,101.52,0.0,0.995294,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C028,M3,96S1P,96,1,1,0,101.47,3.4093,30.5,0.43446,101.47,100.0,0.994804,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C028,M3,96S1P,96,1,1,1800,101.47,3.2993,31.4,0.43446,101.47,50.0,0.994804,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C028,M3,96S1P,96,1,1,3600,101.47,3.1893,32.3,0.43446,101.47,0.0,0.994804,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C029,M3,96S1P,96,1,1,0,101.42,3.4086,30.2,0.43259,101.42,100.0,0.994314,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C029,M3,96S1P,96,1,1,1800,101.42,3.2986,31.1,0.43259,101.42,50.0,0.994314,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C029,M3,96S1P,96,1,1,3600,101.42,3.1886,32.0,0.43259,101.42,0.0,0.994314,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C030,M3,96S1P,96,1,1,0,101.36,3.4082,29.9,0.43075,101.36,100.0,0.993725,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C030,M3,96S1P,96,1,1,1800,101.36,3.2982,30.8,0.43075,101.36,50.0,0.993725,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C030,M3,96S1P,96,1,1,3600,101.36,3.1882,31.7,0.43075,101.36,0.0,0.993725,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C031,M3,96S1P,96,1,1,0,101.3,3.4079,29.5,0.4289,101.3,100.0,0.993137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C031,M3,96S1P,96,1,1,1800,101.3,3.2979,30.4,0.4289,101.3,50.0,0.993137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C031,M3,96S1P,96,1,1,3600,101.3,3.1879,31.3,0.4289,101.3,0.0,0.993137,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C032,M3,96S1P,96,1,1,0,101.24,3.4077,29.1,0.42706,101.24,100.0,0.992549,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C032,M3,96S1P,96,1,1,1800,101.24,3.2977,30.0,0.42706,101.24,50.0,0.992549,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C032,M3,96S1P,96,1,1,3600,101.24,3.1877,30.9,0.42706,101.24,0.0,0.992549,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C033,M3,96S1P,96,1,1,0,101.18,3.4076,29.0,0.42521,101.18,100.0,0.991961,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C033,M3,96S1P,96,1,1,1800,101.18,3.2976,29.9,0.42521,101.18,50.0,0.991961,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C033,M3,96S1P,96,1,1,3600,101.18,3.1876,30.8,0.42521,101.18,0.0,0.991961,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C034,M3,96S1P,96,1,1,0,101.12,3.4076,29.0,0.42336,101.12,100.0,0.991373,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C034,M3,96S1P,96,1,1,1800,101.12,3.2976,29.9,0.42336,101.12,50.0,0.991373,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C034,M3,96S1P,96,1,1,3600,101.12,3.1876,30.8,0.42336,101.12,0.0,0.991373,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C035,M3,96S1P,96,1,1,0,101.05,3.4077,29.2,0.42254,101.05,100.0,0.990686,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C035,M3,96S1P,96,1,1,1800,101.05,3.2977,30.1,0.42254,101.05,50.0,0.990686,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C035,M3,96S1P,96,1,1,3600,101.05,3.1877,31.0,0.42254,101.05,0.0,0.990686,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C036,M3,96S1P,96,1,1,0,100.99,3.4079,29.5,0.42069,100.99,100.0,0.990098,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C036,M3,96S1P,96,1,1,1800,100.99,3.2979,30.4,0.42069,100.99,50.0,0.990098,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C036,M3,96S1P,96,1,1,3600,100.99,3.1879,31.3,0.42069,100.99,0.0,0.990098,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C037,M4,96S1P,96,1,1,0,100.89,3.4095,30.3,0.42398,100.89,100.0,0.989118,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C037,M4,96S1P,96,1,1,1800,100.89,3.2995,31.2,0.42398,100.89,50.0,0.989118,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C037,M4,96S1P,96,1,1,3600,100.89,3.1895,32.1,0.42398,100.89,0.0,0.989118,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C038,M4,96S1P,96,1,1,0,100.82,3.41,30.6,0.42316,100.82,100.0,0.988431,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C038,M4,96S1P,96,1,1,1800,100.82,3.3,31.5,0.42316,100.82,50.0,0.988431,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C038,M4,96S1P,96,1,1,3600,100.82,3.19,32.4,0.42316,100.82,0.0,0.988431,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C039,M4,96S1P,96,1,1,0,100.76,3.4105,30.7,0.42231,100.76,100.0,0.987843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C039,M4,96S1P,96,1,1,1800,100.76,3.3005,31.6,0.42231,100.76,50.0,0.987843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C039,M4,96S1P,96,1,1,3600,100.76,3.1905,32.5,0.42231,100.76,0.0,0.987843,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C040,M4,96S1P,96,1,1,0,100.71,3.4112,30.6,0.42244,100.71,100.0,0.987353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C040,M4,96S1P,96,1,1,1800,100.71,3.3012,31.5,0.42244,100.71,50.0,0.987353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C040,M4,96S1P,96,1,1,3600,100.71,3.1912,32.4,0.42244,100.71,0.0,0.987353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C041,M4,96S1P,96,1,1,0,100.65,3.4118,30.4,0.4216,100.65,100.0,0.986765,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C041,M4,96S1P,96,1,1,1800,100.65,3.3018,31.3,0.4216,100.65,50.0,0.986765,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C041,M4,96S1P,96,1,1,3600,100.65,3.1918,32.2,0.4216,100.65,0.0,0.986765,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C042,M4,96S1P,96,1,1,0,100.6,3.4126,30.0,0.42173,100.6,100.0,0.986275,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C042,M4,96S1P,96,1,1,1800,100.6,3.3026,30.9,0.42173,100.6,50.0,0.986275,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C042,M4,96S1P,96,1,1,3600,100.6,3.1926,31.8,0.42173,100.6,0.0,0.986275,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C043,M4,96S1P,96,1,1,0,100.55,3.3755,29.6,0.53288,100.55,100.0,0.985784,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C043,M4,96S1P,96,1,1,1800,100.55,3.2655,30.5,0.53288,100.55,50.0,0.985784,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C043,M4,96S1P,96,1,1,3600,100.55,3.1555,31.4,0.53288,100.55,0.0,0.985784,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C044,M4,96S1P,96,1,1,0,100.51,3.4142,29.3,0.42197,100.51,100.0,0.985392,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C044,M4,96S1P,96,1,1,1800,100.51,3.3042,30.2,0.42197,100.51,50.0,0.985392,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C044,M4,96S1P,96,1,1,3600,100.51,3.1942,31.1,0.42197,100.51,0.0,0.985392,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C045,M4,96S1P,96,1,1,0,100.47,3.4151,29.1,0.42309,100.47,100.0,0.985,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C045,M4,96S1P,96,1,1,1800,100.47,3.3051,30.0,0.42309,100.47,50.0,0.985,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C045,M4,96S1P,96,1,1,3600,100.47,3.1951,30.9,0.42309,100.47,0.0,0.985,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C046,M4,96S1P,96,1,1,0,100.44,3.4159,29.2,0.42317,100.44,100.0,0.984706,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C046,M4,96S1P,96,1,1,1800,100.44,3.3059,30.1,0.42317,100.44,50.0,0.984706,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C046,M4,96S1P,96,1,1,3600,100.44,3.1959,31.0,0.42317,100.44,0.0,0.984706,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
