time_s,current_a,voltage_v,temperature_c,reference_soc_pct
6480,12.27,3.313,25.4,72.05
6600,6.40,3.315,25.4,71.64
6720,6.52,3.318,25.4,71.42
6840,6.86,3.317,25.4,71.21
6960,1.92,3.316,25.4,70.98
7080,1.92,3.317,25.4,70.91
7200,1.92,3.319,25.3,70.85
7320,1.92,3.317,25.3,70.79
7440,1.92,3.315,25.3,70.72
7560,1.92,3.318,25.3,70.66
7680,1.92,3.319,25.3,70.59
7800,1.92,3.316,25.3,70.53
7920,1.92,3.315,25.3,70.47
8040,1.92,3.318,25.3,70.40
8160,1.92,3.318,25.3,70.34
8280,1.92,3.315,25.2,70.27
8400,1.92,3.316,25.2,70.21
8520,1.92,3.318,25.2,70.15
8640,-5.12,3.340,25.2,70.08
8760,-5.60,3.338,25.2,70.25
8880,-6.16,3.340,25.2,70.43
9000,-6.79,3.343,25.2,70.63
9120,-7.42,3.340,25.2,70.85
9240,-8.04,3.340,25.2,71.09
9360,-8.59,3.344,25.2,71.35
9480,-9.05,3.344,25.2,71.62
9600,-9.38,3.342,25.2,71.92
9720,-9.56,3.343,25.2,72.22
9840,-9.59,3.346,25.2,72.53
9960,-9.46,3.345,25.2,72.84
10080,-9.18,3.343,25.2,73.15
10200,-8.77,3.345,25.2,73.44
10320,-8.25,3.347,25.2,73.73
10440,-7.65,3.345,25.2,73.99
10560,-7.02,3.344,25.2,74.24
10680,-6.38,3.347,25.2,74.47
10800,-5.79,3.348,25.2,74.67
10920,-5.28,3.346,25.2,74.86
11040,-4.87,3.346,25.2,75.03
11160,-4.60,3.350,25.2,75.19
11280,-4.48,3.349,25.2,75.34
11400,-4.53,3.347,25.2,75.48
11520,-4.72,3.349,25.2,75.63
11640,-5.06,3.352,25.2,75.78
11760,-5.53,3.351,25.2,75.95
11880,-6.08,3.350,25.2,76.12
12000,-6.70,3.354,25.2,76.32
12120,-7.34,3.356,25.2,76.54
12240,-7.96,3.354,25.2,76.78
12360,-8.52,3.355,25.2,77.03
12480,-8.99,3.359,25.2,77.31
12600,-9.34,3.360,25.2,77.60
12720,0.00,3.342,25.2,77.90
12840,0.00,3.343,25.2,77.90
12960,0.00,3.346,25.2,77.90
13080,0.00,3.344,25.1,77.90
13200,0.00,3.342,25.1,77.90
13320,0.00,3.344,25.1,77.90
13440,0.00,3.346,25.1,77.90
13560,0.00,3.343,25.1,77.90
13680,0.00,3.342,25.1,77.90
13800,0.00,3.345,25.1,77.90
13920,0.00,3.345,25.1,77.90
14040,0.00,3.342,25.1,77.90
14160,0.00,3.343,25.1,77.90
14280,0.00,3.346,25.1,77.90
14400,0.00,3.344,25.1,77.90
14520,0.00,3.342,25.1,77.90
14640,0.00,3.344,25.1,77.90
14760,0.00,3.346,25.1,77.90
14880,24.81,3.325,25.1,77.90
15000,24.53,3.321,25.1,77.07
15120,24.12,3.321,25.2,76.26
15240,23.60,3.319,25.2,75.45
15360,22.97,3.313,25.3,74.67
15480,22.25,3.311,25.3,73.90
15600,29.15,3.310,25.4,73.16
15720,20.64,3.312,25.4,72.19
15840,19.79,3.309,25.4,71.50
15960,18.95,3.310,25.5,70.84
16080,18.12,3.312,25.5,70.21
16200,17.35,3.309,25.5,69.60
16320,16.64,3.307,25.5,69.02
16440,16.02,3.309,25.5,68.47
16560,15.51,3.310,25.5,67.94
16680,15.11,3.306,25.5,67.42
16800,14.85,3.305,25.5,66.92
16920,14.73,3.308,25.5,66.42
17040,14.75,3.307,25.5,65.93
17160,22.59,3.300,25.5,65.44
17280,15.20,3.303,25.6,64.68
17400,15.63,3.305,25.6,64.18
17520,16.17,3.302,25.6,63.66
17640,16.81,3.299,25.6,63.12
17760,17.54,3.301,25.6,62.56
17880,18.33,3.301,25.6,61.97
18000,19.16,3.297,25.6,61.36
18120,20.01,3.295,25.6,60.72
18240,20.86,3.297,25.6,60.06
18360,21.68,3.296,25.6,59.36
18480,22.45,3.292,25.7,58.64
18600,23.14,3.291,25.7,57.89
18720,31.42,3.289,25.7,57.12
18840,24.24,3.290,25.8,56.07
18960,24.61,3.286,25.8,55.26
19080,24.85,3.287,25.8,54.44
19200,24.96,3.288,25.9,53.61
19320,24.92,3.284,25.9,52.78
19440,24.74,3.282,25.9,51.95
19560,24.42,3.284,25.9,51.13
19680,23.98,3.284,26.0,50.31
19800,23.42,3.280,26.0,49.51
19920,22.76,3.280,26.0,48.73
20040,22.03,3.282,26.0,47.97
20160,21.23,3.280,26.0,47.24
20280,28.07,3.274,26.0,46.53
20400,19.54,3.278,26.1,45.60
20520,18.69,3.280,26.1,44.95
20640,17.88,3.277,26.1,44.32
20760,17.12,3.275,26.0,43.73
20880,16.44,3.277,26.0,43.16
21000,15.85,3.278,26.0,42.61
21120,-5.76,3.303,26.0,42.08
21240,-5.76,3.304,26.0,42.27
21360,-5.76,3.307,25.9,42.45
21480,-5.76,3.306,25.9,42.64
21600,-5.76,3.304,25.9,42.82
21720,-5.76,3.305,25.9,43.01
21840,-5.76,3.308,25.8,43.20
21960,-5.76,3.306,25.8,43.38
22080,-5.76,3.304,25.8,43.57
22200,-5.76,3.307,25.8,43.76
22320,-5.76,3.309,25.7,43.94
22440,-5.76,3.306,25.7,44.13
22560,-5.76,3.306,25.7,44.31
22680,-5.76,3.309,25.7,44.50
22800,-5.76,3.309,25.6,44.69
22920,-5.76,3.306,25.6,44.87
23040,-5.76,3.308,25.6,45.06
23160,-5.76,3.310,25.6,45.25
23280,17.15,3.279,25.6,45.43
23400,16.62,3.277,25.6,44.86
23520,15.73,3.279,25.6,44.31
23640,14.60,3.280,25.6,43.78
23760,13.34,3.277,25.6,43.29
23880,12.09,3.276,25.6,42.85
24000,10.99,3.279,25.6,42.45
24120,10.15,3.279,25.6,42.08
24240,9.69,3.276,25.6,41.74
24360,9.63,3.276,25.5,41.42
24480,9.99,3.278,25.5,41.10
24600,10.73,3.275,25.5,40.77
24720,11.78,3.271,25.5,40.41
24840,13.00,3.272,25.5,40.02
24960,14.27,3.272,25.5,39.58
25080,15.45,3.268,25.5,39.11
25200,16.41,3.265,25.5,38.59
25320,17.04,3.267,25.5,38.04
25440,17.28,3.266,25.5,37.48
25560,17.09,3.261,25.5,36.90
25680,16.50,3.261,25.5,36.33
25800,15.58,3.263,25.6,35.78
25920,14.41,3.261,25.6,35.26
26040,13.15,3.258,25.6,34.78
26160,11.91,3.259,25.6,34.34
26280,10.84,3.260,25.5,33.95
26400,10.06,3.258,25.5,33.58
26520,9.65,3.255,25.5,33.25
26640,9.66,3.257,25.5,32.93
26760,10.08,3.257,25.5,32.61
26880,10.87,3.253,25.5,32.27
27000,11.95,3.252,25.5,31.91
27120,13.19,3.253,25.5,31.51
27240,14.46,3.251,25.5,31.07
27360,15.61,3.247,25.5,30.59
27480,16.53,3.246,25.5,30.07
27600,17.11,3.247,25.5,29.52
27720,17.28,3.244,25.5,28.94
27840,0.00,3.256,25.5,28.37
27960,0.00,3.258,25.5,28.37
28080,0.00,3.260,25.5,28.37
28200,0.00,3.257,25.5,28.37
28320,0.00,3.256,25.5,28.37
28440,0.00,3.259,25.4,28.37
28560,0.00,3.259,25.4,28.37
28680,0.00,3.256,25.4,28.37
28800,0.00,3.257,25.4,28.37
